Season;date;N;N7;age;flu_pick
2014-2015;2014-10-11;14;262;Between 15 and 64;
2014-2015;2014-10-11;8;197;Older than 64;
2014-2015;2014-10-12;21;675;Total;
2014-2015;2014-10-12;2;206;Younger than 15;
2014-2015;2014-10-12;9;267;Between 15 and 64;
2014-2015;2014-10-12;10;202;Older than 64;
2014-2015;2014-10-13;156;676;Total;
2014-2015;2014-10-13;64;218;Younger than 15;
2014-2015;2014-10-13;52;256;Between 15 and 64;
2014-2015;2014-10-13;40;202;Older than 64;
2014-2015;2014-10-14;142;705;Total;
2014-2015;2014-10-14;35;221;Younger than 15;
2014-2015;2014-10-14;58;271;Between 15 and 64;
2014-2015;2014-10-14;49;213;Older than 64;
2014-2015;2014-10-15;121;695;Total;
2014-2015;2014-10-15;45;227;Younger than 15;
2014-2015;2014-10-15;40;257;Between 15 and 64;
2014-2015;2014-10-15;36;211;Older than 64;
2014-2015;2014-10-16;149;737;Total;
2014-2015;2014-10-16;48;246;Younger than 15;
2014-2015;2014-10-16;47;264;Between 15 and 64;
2014-2015;2014-10-16;54;227;Older than 64;
2014-2015;2014-10-17;140;757;Total;
2014-2015;2014-10-17;52;252;Younger than 15;
2014-2015;2014-10-17;50;270;Between 15 and 64;
2014-2015;2014-10-17;38;235;Older than 64;
2014-2015;2014-10-18;21;750;Total;
2014-2015;2014-10-18;1;247;Younger than 15;
2014-2015;2014-10-18;15;271;Between 15 and 64;
2014-2015;2014-10-18;5;232;Older than 64;
2014-2015;2014-10-19;20;749;Total;
2014-2015;2014-10-19;6;251;Younger than 15;
2014-2015;2014-10-19;13;275;Between 15 and 64;
2014-2015;2014-10-19;1;223;Older than 64;
2014-2015;2014-10-20;178;771;Total;
2014-2015;2014-10-20;68;255;Younger than 15;
2014-2015;2014-10-20;68;291;Between 15 and 64;
2014-2015;2014-10-20;42;225;Older than 64;
2014-2015;2014-10-21;126;755;Total;
2014-2015;2014-10-21;56;276;Younger than 15;
2014-2015;2014-10-21;28;261;Between 15 and 64;
2014-2015;2014-10-21;42;218;Older than 64;
2014-2015;2014-10-22;119;753;Total;
2014-2015;2014-10-22;43;274;Younger than 15;
2014-2015;2014-10-22;36;257;Between 15 and 64;
2014-2015;2014-10-22;40;222;Older than 64;
2014-2015;2014-10-23;131;735;Total;
2014-2015;2014-10-23;36;262;Younger than 15;
2014-2015;2014-10-23;59;269;Between 15 and 64;
2014-2015;2014-10-23;36;204;Older than 64;
2014-2015;2014-10-24;134;729;Total;
2014-2015;2014-10-24;54;264;Younger than 15;
2014-2015;2014-10-24;41;260;Between 15 and 64;
2014-2015;2014-10-24;39;205;Older than 64;
2014-2015;2014-10-25;25;733;Total;
2014-2015;2014-10-25;3;266;Younger than 15;
2014-2015;2014-10-25;11;256;Between 15 and 64;
2014-2015;2014-10-25;11;211;Older than 64;
2014-2015;2014-10-26;17;730;Total;
2014-2015;2014-10-26;2;262;Younger than 15;
2014-2015;2014-10-26;10;253;Between 15 and 64;
2014-2015;2014-10-26;5;215;Older than 64;
2014-2015;2014-10-27;147;699;Total;
2014-2015;2014-10-27;58;252;Younger than 15;
2014-2015;2014-10-27;48;233;Between 15 and 64;
2014-2015;2014-10-27;41;214;Older than 64;
2014-2015;2014-10-28;134;707;Total;
2014-2015;2014-10-28;61;257;Younger than 15;
2014-2015;2014-10-28;36;241;Between 15 and 64;
2014-2015;2014-10-28;37;209;Older than 64;
2014-2015;2014-10-29;117;705;Total;
2014-2015;2014-10-29;50;264;Younger than 15;
2014-2015;2014-10-29;38;243;Between 15 and 64;
2014-2015;2014-10-29;29;198;Older than 64;
2014-2015;2014-10-30;135;709;Total;
2014-2015;2014-10-30;55;283;Younger than 15;
2014-2015;2014-10-30;37;221;Between 15 and 64;
2014-2015;2014-10-30;43;205;Older than 64;
2014-2015;2014-10-31;108;683;Total;
