Season;date;N;N7;age;flu_pick
2016-2017;2017-06-06;42;162;Between 15 and 64;
2016-2017;2017-06-06;44;183;Older than 64;
2016-2017;2017-06-07;136;620;Total;
2016-2017;2017-06-07;52;243;Younger than 15;
2016-2017;2017-06-07;36;171;Between 15 and 64;
2016-2017;2017-06-07;48;206;Older than 64;
2016-2017;2017-06-08;91;596;Total;
2016-2017;2017-06-08;37;233;Younger than 15;
2016-2017;2017-06-08;29;166;Between 15 and 64;
2016-2017;2017-06-08;25;197;Older than 64;
2016-2017;2017-06-09;104;581;Total;
2016-2017;2017-06-09;40;215;Younger than 15;
2016-2017;2017-06-09;35;176;Between 15 and 64;
2016-2017;2017-06-09;29;190;Older than 64;
2016-2017;2017-06-10;21;580;Total;
2016-2017;2017-06-10;2;214;Younger than 15;
2016-2017;2017-06-10;11;180;Between 15 and 64;
2016-2017;2017-06-10;8;186;Older than 64;
2016-2017;2017-06-11;12;578;Total;
2016-2017;2017-06-11;2;215;Younger than 15;
2016-2017;2017-06-11;8;182;Between 15 and 64;
2016-2017;2017-06-11;2;181;Older than 64;
2016-2017;2017-06-12;155;663;Total;
2016-2017;2017-06-12;56;247;Younger than 15;
2016-2017;2017-06-12;58;219;Between 15 and 64;
2016-2017;2017-06-12;41;197;Older than 64;
2016-2017;2017-06-13;103;622;Total;
2016-2017;2017-06-13;43;232;Younger than 15;
2016-2017;2017-06-13;38;215;Between 15 and 64;
2016-2017;2017-06-13;22;175;Older than 64;
2016-2017;2017-06-14;141;627;Total;
2016-2017;2017-06-14;49;229;Younger than 15;
2016-2017;2017-06-14;50;229;Between 15 and 64;
2016-2017;2017-06-14;42;169;Older than 64;
2016-2017;2017-06-15;91;627;Total;
2016-2017;2017-06-15;37;229;Younger than 15;
2016-2017;2017-06-15;26;226;Between 15 and 64;
2016-2017;2017-06-15;28;172;Older than 64;
2016-2017;2017-06-16;108;631;Total;
2016-2017;2017-06-16;46;235;Younger than 15;
2016-2017;2017-06-16;27;218;Between 15 and 64;
2016-2017;2017-06-16;35;178;Older than 64;
2016-2017;2017-06-17;17;627;Total;
2016-2017;2017-06-17;4;237;Younger than 15;
2016-2017;2017-06-17;10;217;Between 15 and 64;
2016-2017;2017-06-17;3;173;Older than 64;
2016-2017;2017-06-18;23;638;Total;
2016-2017;2017-06-18;5;240;Younger than 15;
2016-2017;2017-06-18;10;219;Between 15 and 64;
2016-2017;2017-06-18;8;179;Older than 64;
2016-2017;2017-06-19;138;621;Total;
2016-2017;2017-06-19;54;238;Younger than 15;
2016-2017;2017-06-19;50;211;Between 15 and 64;
2016-2017;2017-06-19;34;172;Older than 64;
2016-2017;2017-06-20;117;635;Total;
2016-2017;2017-06-20;51;246;Younger than 15;
2016-2017;2017-06-20;38;211;Between 15 and 64;
2016-2017;2017-06-20;28;178;Older than 64;
2016-2017;2017-06-21;121;615;Total;
2016-2017;2017-06-21;40;237;Younger than 15;
2016-2017;2017-06-21;40;201;Between 15 and 64;
2016-2017;2017-06-21;41;177;Older than 64;
2016-2017;2017-06-22;121;645;Total;
2016-2017;2017-06-22;51;251;Younger than 15;
2016-2017;2017-06-22;34;209;Between 15 and 64;
2016-2017;2017-06-22;36;185;Older than 64;
2016-2017;2017-06-23;113;650;Total;
2016-2017;2017-06-23;53;258;Younger than 15;
2016-2017;2017-06-23;32;214;Between 15 and 64;
2016-2017;2017-06-23;28;178;Older than 64;
2016-2017;2017-06-24;13;646;Total;
2016-2017;2017-06-24;5;259;Younger than 15;
2016-2017;2017-06-24;5;209;Between 15 and 64;
2016-2017;2017-06-24;3;178;Older than 64;
2016-2017;2017-06-25;14;637;Total;
2016-2017;2017-06-25;5;259;Younger than 15;
2016-2017;2017-06-25;1;200;Between 15 and 64;
2016-2017;2017-06-25;8;178;Older than 64;
2016-2017;2017-06-26;138;637;Total;
2016-2017;2017-06-26;58;263;Younger than 15;
2016-2017;2017-06-26;48;198;Between 15 and 64;
2016-2017;2017-06-26;32;176;Older than 64;
2016-2017;2017-06-27;118;638;Total;
2016-2017;2017-06-27;53;265;Younger than 15;
2016-2017;2017-06-27;38;198;Between 15 and 64;
2016-2017;2017-06-27;27;175;Older than 64;
2016-2017;2017-06-28;114;631;Total;
2016-2017;2017-06-28;49;274;Younger than 15;
2016-2017;2017-06-28;38;196;Between 15 and 64;
2016-2017;2017-06-28;27;161;Older than 64;
2016-2017;2017-06-29;87;597;Total;
2016-2017;2017-06-29;45;268;Younger than 15;
2016-2017;2017-06-29;21;183;Between 15 and 64;
2016-2017;2017-06-29;21;146;Older than 64;
2016-2017;2017-06-30;92;576;Total;
2016-2017;2017-06-30;39;254;Younger than 15;
2016-2017;2017-06-30;33;184;Between 15 and 64;
2016-2017;2017-06-30;20;138;Older than 64;
2016-2017;2017-07-01;32;595;Total;
2016-2017;2017-07-01;7;256;Younger than 15;
2016-2017;2017-07-01;9;188;Between 15 and 64;
2016-2017;2017-07-01;16;151;Older than 64;
2016-2017;2017-07-02;13;594;Total;
2016-2017;2017-07-02;3;254;Younger than 15;
2016-2017;2017-07-02;4;191;Between 15 and 64;
2016-2017;2017-07-02;6;149;Older than 64;
2016-2017;2017-07-03;116;572;Total;
2016-2017;2017-07-03;49;245;Younger than 15;
2016-2017;2017-07-03;43;186;Between 15 and 64;
2016-2017;2017-07-03;24;141;Older than 64;
2016-2017;2017-07-04;103;557;Total;
2016-2017;2017-07-04;46;238;Younger than 15;
2016-2017;2017-07-04;38;186;Between 15 and 64;
2016-2017;2017-07-04;19;133;Older than 64;
2016-2017;2017-07-05;88;531;Total;
2016-2017;2017-07-05;40;229;Younger than 15;
2016-2017;2017-07-05;26;174;Between 15 and 64;
2016-2017;2017-07-05;22;128;Older than 64;
2016-2017;2017-07-06;99;543;Total;
2016-2017;2017-07-06;34;218;Younger than 15;
2016-2017;2017-07-06;35;188;Between 15 and 64;
2016-2017;2017-07-06;30;137;Older than 64;
2016-2017;2017-07-07;111;562;Total;
2016-2017;2017-07-07;52;231;Younger than 15;
2016-2017;2017-07-07;32;187;Between 15 and 64;
2016-2017;2017-07-07;27;144;Older than 64;
2016-2017;2017-07-08;11;541;Total;
2016-2017;2017-07-08;0;224;Younger than 15;
2016-2017;2017-07-08;7;185;Between 15 and 64;
2016-2017;2017-07-08;4;132;Older than 64;
2016-2017;2017-07-09;9;537;Total;
2016-2017;2017-07-09;3;224;Younger than 15;
2016-2017;2017-07-09;2;183;Between 15 and 64;
2016-2017;2017-07-09;4;130;Older than 64;
2016-2017;2017-07-10;133;554;Total;
2016-2017;2017-07-10;48;223;Younger than 15;
2016-2017;2017-07-10;46;186;Between 15 and 64;
2016-2017;2017-07-10;39;145;Older than 64;
2016-2017;2017-07-11;94;545;Total;
2016-2017;2017-07-11;35;212;Younger than 15;
2016-2017;2017-07-11;33;181;Between 15 and 64;
2016-2017;2017-07-11;26;152;Older than 64;
2016-2017;2017-07-12;100;557;Total;
2016-2017;2017-07-12;49;221;Younger than 15;
2016-2017;2017-07-12;27;182;Between 15 and 64;
2016-2017;2017-07-12;24;154;Older than 64;
2016-2017;2017-07-13;89;547;Total;
2016-2017;2017-07-13;22;209;Younger than 15;
2016-2017;2017-07-13;45;192;Between 15 and 64;
2016-2017;2017-07-13;22;146;Older than 64;
2016-2017;2017-07-14;79;515;Total;
2016-2017;2017-07-14;32;189;Younger than 15;
2016-2017;2017-07-14;23;183;Between 15 and 64;
2016-2017;2017-07-14;24;143;Older than 64;
2016-2017;2017-07-15;17;521;Total;
2016-2017;2017-07-15;5;194;Younger than 15;
2016-2017;2017-07-15;7;183;Between 15 and 64;
2016-2017;2017-07-15;5;144;Older than 64;
2016-2017;2017-07-16;13;525;Total;
2016-2017;2017-07-16;3;194;Younger than 15;
2016-2017;2017-07-16;7;188;Between 15 and 64;
2016-2017;2017-07-16;3;143;Older than 64;
2016-2017;2017-07-17;135;527;Total;
2016-2017;2017-07-17;58;204;Younger than 15;
2016-2017;2017-07-17;50;192;Between 15 and 64;
2016-2017;2017-07-17;27;131;Older than 64;
2016-2017;2017-07-18;96;529;Total;
2016-2017;2017-07-18;39;208;Younger than 15;
2016-2017;2017-07-18;25;184;Between 15 and 64;
2016-2017;2017-07-18;32;137;Older than 64;
2016-2017;2017-07-19;101;530;Total;
2016-2017;2017-07-19;34;193;Younger than 15;
2016-2017;2017-07-19;33;190;Between 15 and 64;
2016-2017;2017-07-19;34;147;Older than 64;
2016-2017;2017-07-20;77;518;Total;
2016-2017;2017-07-20;28;199;Younger than 15;
2016-2017;2017-07-20;21;166;Between 15 and 64;
2016-2017;2017-07-20;28;153;Older than 64;
2016-2017;2017-07-21;94;533;Total;
2016-2017;2017-07-21;35;202;Younger than 15;
2016-2017;2017-07-21;38;181;Between 15 and 64;
2016-2017;2017-07-21;21;150;Older than 64;
2016-2017;2017-07-22;18;534;Total;
2016-2017;2017-07-22;3;200;Younger than 15;
2016-2017;2017-07-22;8;182;Between 15 and 64;
2016-2017;2017-07-22;7;152;Older than 64;
2016-2017;2017-07-23;11;532;Total;
2016-2017;2017-07-23;2;199;Younger than 15;
2016-2017;2017-07-23;8;183;Between 15 and 64;
2016-2017;2017-07-23;1;150;Older than 64;
2016-2017;2017-07-24;118;515;Total;
2016-2017;2017-07-24;40;181;Younger than 15;
2016-2017;2017-07-24;53;186;Between 15 and 64;
2016-2017;2017-07-24;25;148;Older than 64;
2016-2017;2017-07-25;101;520;Total;
2016-2017;2017-07-25;37;179;Younger than 15;
2016-2017;2017-07-25;35;196;Between 15 and 64;
2016-2017;2017-07-25;29;145;Older than 64;
2016-2017;2017-07-26;89;508;Total;
2016-2017;2017-07-26;30;175;Younger than 15;
2016-2017;2017-07-26;37;200;Between 15 and 64;
2016-2017;2017-07-26;22;133;Older than 64;
2016-2017;2017-07-27;77;508;Total;
2016-2017;2017-07-27;24;171;Younger than 15;
2016-2017;2017-07-27;31;210;Between 15 and 64;
2016-2017;2017-07-27;22;127;Older than 64;
2016-2017;2017-07-28;88;502;Total;
2016-2017;2017-07-28;29;165;Younger than 15;
2016-2017;2017-07-28;29;201;Between 15 and 64;
2016-2017;2017-07-28;30;136;Older than 64;
2016-2017;2017-07-29;22;506;Total;
2016-2017;2017-07-29;4;166;Younger than 15;
2016-2017;2017-07-29;8;201;Between 15 and 64;
2016-2017;2017-07-29;10;139;Older than 64;
2016-2017;2017-07-30;13;508;Total;
2016-2017;2017-07-30;1;165;Younger than 15;
2016-2017;2017-07-30;8;201;Between 15 and 64;
2016-2017;2017-07-30;4;142;Older than 64;
2016-2017;2017-07-31;100;490;Total;
2016-2017;2017-07-31;32;157;Younger than 15;
2016-2017;2017-07-31;41;189;Between 15 and 64;
2016-2017;2017-07-31;27;144;Older than 64;
2016-2017;2017-08-01;77;466;Total;
2016-2017;2017-08-01;23;143;Younger than 15;
2016-2017;2017-08-01;29;183;Between 15 and 64;
2016-2017;2017-08-01;25;140;Older than 64;
2016-2017;2017-08-02;76;453;Total;
2016-2017;2017-08-02;26;139;Younger than 15;
2016-2017;2017-08-02;24;170;Between 15 and 64;
2016-2017;2017-08-02;26;144;Older than 64;
2016-2017;2017-08-03;78;454;Total;
2016-2017;2017-08-03;28;143;Younger than 15;
2016-2017;2017-08-03;29;168;Between 15 and 64;
2016-2017;2017-08-03;21;143;Older than 64;
2016-2017;2017-08-04;93;459;Total;
2016-2017;2017-08-04;29;143;Younger than 15;
2016-2017;2017-08-04;38;177;Between 15 and 64;
2016-2017;2017-08-04;26;139;Older than 64;
2016-2017;2017-08-05;15;452;Total;
2016-2017;2017-08-05;2;141;Younger than 15;
2016-2017;2017-08-05;9;178;Between 15 and 64;
2016-2017;2017-08-05;4;133;Older than 64;
2016-2017;2017-08-06;16;455;Total;
2016-2017;2017-08-06;2;142;Younger than 15;
2016-2017;2017-08-06;8;178;Between 15 and 64;
2016-2017;2017-08-06;6;135;Older than 64;
2016-2017;2017-08-07;111;466;Total;
2016-2017;2017-08-07;38;148;Younger than 15;
2016-2017;2017-08-07;40;177;Between 15 and 64;
2016-2017;2017-08-07;33;141;Older than 64;
2016-2017;2017-08-08;64;453;Total;
2016-2017;2017-08-08;19;144;Younger than 15;
2016-2017;2017-08-08;24;172;Between 15 and 64;
2016-2017;2017-08-08;21;137;Older than 64;
2016-2017;2017-08-09;77;454;Total;
2016-2017;2017-08-09;26;144;Younger than 15;
2016-2017;2017-08-09;27;175;Between 15 and 64;
2016-2017;2017-08-09;24;135;Older than 64;
2016-2017;2017-08-10;69;445;Total;
2016-2017;2017-08-10;16;132;Younger than 15;
2016-2017;2017-08-10;22;168;Between 15 and 64;
2016-2017;2017-08-10;31;145;Older than 64;
2016-2017;2017-08-11;62;414;Total;
2016-2017;2017-08-11;19;122;Younger than 15;
2016-2017;2017-08-11;22;152;Between 15 and 64;
2016-2017;2017-08-11;21;140;Older than 64;
2016-2017;2017-08-12;14;413;Total;
2016-2017;2017-08-12;0;120;Younger than 15;
2016-2017;2017-08-12;4;147;Between 15 and 64;
2016-2017;2017-08-12;10;146;Older than 64;
2016-2017;2017-08-13;6;403;Total;
2016-2017;2017-08-13;1;119;Younger than 15;
2016-2017;2017-08-13;2;141;Between 15 and 64;
2016-2017;2017-08-13;3;143;Older than 64;
2016-2017;2017-08-14;93;385;Total;
2016-2017;2017-08-14;30;111;Younger than 15;
2016-2017;2017-08-14;29;130;Between 15 and 64;
2016-2017;2017-08-14;34;144;Older than 64;
2016-2017;2017-08-15;19;340;Total;
2016-2017;2017-08-15;2;94;Younger than 15;
2016-2017;2017-08-15;9;115;Between 15 and 64;
2016-2017;2017-08-15;8;131;Older than 64;
2016-2017;2017-08-16;106;369;Total;
2016-2017;2017-08-16;22;90;Younger than 15;
2016-2017;2017-08-16;52;140;Between 15 and 64;
2016-2017;2017-08-16;32;139;Older than 64;
2016-2017;2017-08-17;75;375;Total;
2016-2017;2017-08-17;23;97;Younger than 15;
2016-2017;2017-08-17;29;147;Between 15 and 64;
2016-2017;2017-08-17;23;131;Older than 64;
2016-2017;2017-08-18;74;387;Total;
2016-2017;2017-08-18;16;94;Younger than 15;
2016-2017;2017-08-18;33;158;Between 15 and 64;
2016-2017;2017-08-18;25;135;Older than 64;
2016-2017;2017-08-19;8;381;Total;
2016-2017;2017-08-19;1;95;Younger than 15;
2016-2017;2017-08-19;4;158;Between 15 and 64;
2016-2017;2017-08-19;3;128;Older than 64;
2016-2017;2017-08-20;21;396;Total;
2016-2017;2017-08-20;0;94;Younger than 15;
2016-2017;2017-08-20;11;167;Between 15 and 64;
2016-2017;2017-08-20;10;135;Older than 64;
2016-2017;2017-08-21;96;399;Total;
2016-2017;2017-08-21;17;81;Younger than 15;
2016-2017;2017-08-21;47;185;Between 15 and 64;
2016-2017;2017-08-21;32;133;Older than 64;
2016-2017;2017-08-22;74;454;Total;
2016-2017;2017-08-22;22;101;Younger than 15;
2016-2017;2017-08-22;29;205;Between 15 and 64;
2016-2017;2017-08-22;23;148;Older than 64;
2016-2017;2017-08-23;68;416;Total;
2016-2017;2017-08-23;16;95;Younger than 15;
2016-2017;2017-08-23;23;176;Between 15 and 64;
2016-2017;2017-08-23;29;145;Older than 64;
2016-2017;2017-08-24;71;412;Total;
2016-2017;2017-08-24;21;93;Younger than 15;
2016-2017;2017-08-24;28;175;Between 15 and 64;
2016-2017;2017-08-24;22;144;Older than 64;
2016-2017;2017-08-25;78;416;Total;
2016-2017;2017-08-25;14;91;Younger than 15;
2016-2017;2017-08-25;38;180;Between 15 and 64;
2016-2017;2017-08-25;26;145;Older than 64;
2016-2017;2017-08-26;22;430;Total;
2016-2017;2017-08-26;1;91;Younger than 15;
2016-2017;2017-08-26;12;188;Between 15 and 64;
2016-2017;2017-08-26;9;151;Older than 64;
2016-2017;2017-08-27;11;420;Total;
2016-2017;2017-08-27;1;92;Younger than 15;
2016-2017;2017-08-27;4;181;Between 15 and 64;
2016-2017;2017-08-27;6;147;Older than 64;
2016-2017;2017-08-28;117;441;Total;
2016-2017;2017-08-28;33;108;Younger than 15;
2016-2017;2017-08-28;52;186;Between 15 and 64;
2016-2017;2017-08-28;32;147;Older than 64;
2016-2017;2017-08-29;89;456;Total;
2016-2017;2017-08-29;18;104;Younger than 15;
2016-2017;2017-08-29;42;199;Between 15 and 64;
2016-2017;2017-08-29;29;153;Older than 64;
2016-2017;2017-08-30;85;473;Total;
2016-2017;2017-08-30;33;121;Younger than 15;
2016-2017;2017-08-30;28;204;Between 15 and 64;
2016-2017;2017-08-30;24;148;Older than 64;
2016-2017;2017-08-31;60;462;Total;
2016-2017;2017-08-31;14;114;Younger than 15;
2016-2017;2017-08-31;26;202;Between 15 and 64;
2016-2017;2017-08-31;20;146;Older than 64;
2017-2018;2017-09-01;78;462;Total;
2017-2018;2017-09-01;24;124;Younger than 15;
2017-2018;2017-09-01;29;193;Between 15 and 64;
2017-2018;2017-09-01;25;145;Older than 64;
2017-2018;2017-09-02;14;454;Total;
2017-2018;2017-09-02;2;125;Younger than 15;
2017-2018;2017-09-02;7;188;Between 15 and 64;
2017-2018;2017-09-02;5;141;Older than 64;
2017-2018;2017-09-03;15;458;Total;
2017-2018;2017-09-03;3;127;Younger than 15;
2017-2018;2017-09-03;6;190;Between 15 and 64;
2017-2018;2017-09-03;6;141;Older than 64;
2017-2018;2017-09-04;96;437;Total;
2017-2018;2017-09-04;18;112;Younger than 15;
2017-2018;2017-09-04;45;183;Between 15 and 64;
2017-2018;2017-09-04;33;142;Older than 64;
2017-2018;2017-09-05;74;422;Total;
2017-2018;2017-09-05;13;107;Younger than 15;
2017-2018;2017-09-05;36;177;Between 15 and 64;
2017-2018;2017-09-05;25;138;Older than 64;
2017-2018;2017-09-06;55;392;Total;
2017-2018;2017-09-06;8;82;Younger than 15;
2017-2018;2017-09-06;25;174;Between 15 and 64;
2017-2018;2017-09-06;22;136;Older than 64;
2017-2018;2017-09-07;56;388;Total;
2017-2018;2017-09-07;14;82;Younger than 15;
2017-2018;2017-09-07;18;166;Between 15 and 64;
2017-2018;2017-09-07;24;140;Older than 64;
2017-2018;2017-09-08;67;377;Total;
2017-2018;2017-09-08;10;68;Younger than 15;
2017-2018;2017-09-08;28;165;Between 15 and 64;
2017-2018;2017-09-08;29;144;Older than 64;
2017-2018;2017-09-09;17;380;Total;
2017-2018;2017-09-09;1;67;Younger than 15;
2017-2018;2017-09-09;13;171;Between 15 and 64;
2017-2018;2017-09-09;3;142;Older than 64;
2017-2018;2017-09-10;13;378;Total;
2017-2018;2017-09-10;1;65;Younger than 15;
2017-2018;2017-09-10;6;171;Between 15 and 64;
2017-2018;2017-09-10;6;142;Older than 64;
2017-2018;2017-09-11;23;305;Total;
2017-2018;2017-09-11;1;48;Younger than 15;
2017-2018;2017-09-11;15;141;Between 15 and 64;
2017-2018;2017-09-11;7;116;Older than 64;
2017-2018;2017-09-12;101;332;Total;
2017-2018;2017-09-12;22;57;Younger than 15;
2017-2018;2017-09-12;50;155;Between 15 and 64;
2017-2018;2017-09-12;29;120;Older than 64;
2017-2018;2017-09-13;82;359;Total;
2017-2018;2017-09-13;18;67;Younger than 15;
2017-2018;2017-09-13;34;164;Between 15 and 64;
2017-2018;2017-09-13;30;128;Older than 64;
2017-2018;2017-09-14;79;382;Total;
2017-2018;2017-09-14;8;61;Younger than 15;
2017-2018;2017-09-14;39;185;Between 15 and 64;
2017-2018;2017-09-14;32;136;Older than 64;
2017-2018;2017-09-15;90;405;Total;
2017-2018;2017-09-15;18;69;Younger than 15;
2017-2018;2017-09-15;41;198;Between 15 and 64;
2017-2018;2017-09-15;31;138;Older than 64;
2017-2018;2017-09-16;8;396;Total;
2017-2018;2017-09-16;3;71;Younger than 15;
2017-2018;2017-09-16;3;188;Between 15 and 64;
2017-2018;2017-09-16;2;137;Older than 64;
2017-2018;2017-09-17;15;398;Total;
2017-2018;2017-09-17;1;71;Younger than 15;
2017-2018;2017-09-17;7;189;Between 15 and 64;
2017-2018;2017-09-17;7;138;Older than 64;
2017-2018;2017-09-18;107;482;Total;
2017-2018;2017-09-18;24;94;Younger than 15;
2017-2018;2017-09-18;45;219;Between 15 and 64;
2017-2018;2017-09-18;38;169;Older than 64;
2017-2018;2017-09-19;84;465;Total;
2017-2018;2017-09-19;18;90;Younger than 15;
2017-2018;2017-09-19;34;203;Between 15 and 64;
2017-2018;2017-09-19;32;172;Older than 64;
2017-2018;2017-09-20;76;459;Total;
2017-2018;2017-09-20;19;91;Younger than 15;
2017-2018;2017-09-20;31;200;Between 15 and 64;
2017-2018;2017-09-20;26;168;Older than 64;
2017-2018;2017-09-21;83;463;Total;
2017-2018;2017-09-21;25;108;Younger than 15;
2017-2018;2017-09-21;39;200;Between 15 and 64;
2017-2018;2017-09-21;19;155;Older than 64;
2017-2018;2017-09-22;105;478;Total;
2017-2018;2017-09-22;37;127;Younger than 15;
2017-2018;2017-09-22;33;192;Between 15 and 64;
2017-2018;2017-09-22;35;159;Older than 64;
2017-2018;2017-09-23;27;497;Total;
2017-2018;2017-09-23;1;125;Younger than 15;
2017-2018;2017-09-23;16;205;Between 15 and 64;
2017-2018;2017-09-23;10;167;Older than 64;
2017-2018;2017-09-24;22;504;Total;
2017-2018;2017-09-24;4;128;Younger than 15;
2017-2018;2017-09-24;10;208;Between 15 and 64;
2017-2018;2017-09-24;8;168;Older than 64;
2017-2018;2017-09-25;111;508;Total;
2017-2018;2017-09-25;32;136;Younger than 15;
2017-2018;2017-09-25;41;204;Between 15 and 64;
2017-2018;2017-09-25;38;168;Older than 64;
2017-2018;2017-09-26;122;546;Total;
2017-2018;2017-09-26;38;156;Younger than 15;
2017-2018;2017-09-26;51;221;Between 15 and 64;
2017-2018;2017-09-26;33;169;Older than 64;
2017-2018;2017-09-27;103;573;Total;
2017-2018;2017-09-27;33;170;Younger than 15;
2017-2018;2017-09-27;38;228;Between 15 and 64;
2017-2018;2017-09-27;32;175;Older than 64;
2017-2018;2017-09-28;86;576;Total;
2017-2018;2017-09-28;26;171;Younger than 15;
2017-2018;2017-09-28;31;220;Between 15 and 64;
2017-2018;2017-09-28;29;185;Older than 64;
2017-2018;2017-09-29;118;589;Total;
2017-2018;2017-09-29;43;177;Younger than 15;
2017-2018;2017-09-29;34;221;Between 15 and 64;
2017-2018;2017-09-29;41;191;Older than 64;
2017-2018;2017-09-30;25;587;Total;
2017-2018;2017-09-30;2;178;Younger than 15;
2017-2018;2017-09-30;13;218;Between 15 and 64;
2017-2018;2017-09-30;10;191;Older than 64;
2017-2018;2017-10-01;23;588;Total;
2017-2018;2017-10-01;8;182;Younger than 15;
2017-2018;2017-10-01;10;218;Between 15 and 64;
2017-2018;2017-10-01;5;188;Older than 64;
2017-2018;2017-10-02;153;630;Total;
2017-2018;2017-10-02;43;193;Younger than 15;
2017-2018;2017-10-02;61;238;Between 15 and 64;
2017-2018;2017-10-02;49;199;Older than 64;
2017-2018;2017-10-03;56;564;Total;
2017-2018;2017-10-03;19;174;Younger than 15;
2017-2018;2017-10-03;21;208;Between 15 and 64;
2017-2018;2017-10-03;16;182;Older than 64;
2017-2018;2017-10-04;131;592;Total;
2017-2018;2017-10-04;39;180;Younger than 15;
2017-2018;2017-10-04;47;217;Between 15 and 64;
2017-2018;2017-10-04;45;195;Older than 64;
2017-2018;2017-10-05;118;624;Total;
2017-2018;2017-10-05;32;186;Younger than 15;
2017-2018;2017-10-05;38;224;Between 15 and 64;
2017-2018;2017-10-05;48;214;Older than 64;
2017-2018;2017-10-06;107;613;Total;
2017-2018;2017-10-06;32;175;Younger than 15;
2017-2018;2017-10-06;39;229;Between 15 and 64;
2017-2018;2017-10-06;36;209;Older than 64;
2017-2018;2017-10-07;24;612;Total;
2017-2018;2017-10-07;4;177;Younger than 15;
2017-2018;2017-10-07;10;226;Between 15 and 64;
2017-2018;2017-10-07;10;209;Older than 64;
2017-2018;2017-10-08;18;607;Total;
2017-2018;2017-10-08;4;173;Younger than 15;
2017-2018;2017-10-08;5;221;Between 15 and 64;
2017-2018;2017-10-08;9;213;Older than 64;
2017-2018;2017-10-09;137;591;Total;
2017-2018;2017-10-09;34;164;Younger than 15;
2017-2018;2017-10-09;58;218;Between 15 and 64;
2017-2018;2017-10-09;45;209;Older than 64;
2017-2018;2017-10-10;123;658;Total;
2017-2018;2017-10-10;36;181;Younger than 15;
2017-2018;2017-10-10;47;244;Between 15 and 64;
2017-2018;2017-10-10;40;233;Older than 64;
2017-2018;2017-10-11;122;649;Total;
2017-2018;2017-10-11;39;181;Younger than 15;
2017-2018;2017-10-11;39;236;Between 15 and 64;
2017-2018;2017-10-11;44;232;Older than 64;
2017-2018;2017-10-12;16;547;Total;
2017-2018;2017-10-12;2;151;Younger than 15;
2017-2018;2017-10-12;9;207;Between 15 and 64;
2017-2018;2017-10-12;5;189;Older than 64;
2017-2018;2017-10-13;125;565;Total;
2017-2018;2017-10-13;37;156;Younger than 15;
2017-2018;2017-10-13;52;220;Between 15 and 64;
2017-2018;2017-10-13;36;189;Older than 64;
2017-2018;2017-10-14;22;563;Total;
2017-2018;2017-10-14;4;156;Younger than 15;
2017-2018;2017-10-14;13;223;Between 15 and 64;
2017-2018;2017-10-14;5;184;Older than 64;
2017-2018;2017-10-15;22;567;Total;
2017-2018;2017-10-15;7;159;Younger than 15;
2017-2018;2017-10-15;9;227;Between 15 and 64;
2017-2018;2017-10-15;6;181;Older than 64;
2017-2018;2017-10-16;172;602;Total;
2017-2018;2017-10-16;55;180;Younger than 15;
2017-2018;2017-10-16;74;243;Between 15 and 64;
2017-2018;2017-10-16;43;179;Older than 64;
2017-2018;2017-10-17;115;594;Total;
2017-2018;2017-10-17;32;176;Younger than 15;
2017-2018;2017-10-17;46;242;Between 15 and 64;
2017-2018;2017-10-17;37;176;Older than 64;
2017-2018;2017-10-18;132;604;Total;
2017-2018;2017-10-18;44;181;Younger than 15;
2017-2018;2017-10-18;50;253;Between 15 and 64;
2017-2018;2017-10-18;38;170;Older than 64;
2017-2018;2017-10-19;86;674;Total;
2017-2018;2017-10-19;18;197;Younger than 15;
2017-2018;2017-10-19;33;277;Between 15 and 64;
2017-2018;2017-10-19;35;200;Older than 64;
2017-2018;2017-10-20;105;654;Total;
2017-2018;2017-10-20;33;193;Younger than 15;
2017-2018;2017-10-20;36;261;Between 15 and 64;
2017-2018;2017-10-20;36;200;Older than 64;
2017-2018;2017-10-21;22;654;Total;
2017-2018;2017-10-21;8;197;Younger than 15;
2017-2018;2017-10-21;8;256;Between 15 and 64;
2017-2018;2017-10-21;6;201;Older than 64;
2017-2018;2017-10-22;18;650;Total;
2017-2018;2017-10-22;6;196;Younger than 15;
2017-2018;2017-10-22;4;251;Between 15 and 64;
2017-2018;2017-10-22;8;203;Older than 64;
2017-2018;2017-10-23;139;617;Total;
2017-2018;2017-10-23;42;183;Younger than 15;
2017-2018;2017-10-23;57;234;Between 15 and 64;
2017-2018;2017-10-23;40;200;Older than 64;
2017-2018;2017-10-24;125;627;Total;
2017-2018;2017-10-24;47;198;Younger than 15;
2017-2018;2017-10-24;34;222;Between 15 and 64;
2017-2018;2017-10-24;44;207;Older than 64;
2017-2018;2017-10-25;121;616;Total;
2017-2018;2017-10-25;40;194;Younger than 15;
2017-2018;2017-10-25;34;206;Between 15 and 64;
2017-2018;2017-10-25;47;216;Older than 64;
2017-2018;2017-10-26;88;618;Total;
2017-2018;2017-10-26;33;209;Younger than 15;
2017-2018;2017-10-26;24;197;Between 15 and 64;
2017-2018;2017-10-26;31;212;Older than 64;
2017-2018;2017-10-27;114;627;Total;
2017-2018;2017-10-27;38;214;Younger than 15;
2017-2018;2017-10-27;44;205;Between 15 and 64;
2017-2018;2017-10-27;32;208;Older than 64;
2017-2018;2017-10-28;23;628;Total;
2017-2018;2017-10-28;4;210;Younger than 15;
