date;N;N7;age
2017-03-14;11;36;Older than 64
2017-03-15;0;0;
2017-03-15;1;27;Younger than 15
2017-03-15;60;341;Between 15 and 64
2017-03-15;4;36;Older than 64
2017-03-16;0;0;
2017-03-16;3;27;Younger than 15
2017-03-16;45;328;Between 15 and 64
2017-03-16;1;35;Older than 64
2017-03-17;0;0;
2017-03-17;3;24;Younger than 15
2017-03-17;35;325;Between 15 and 64
2017-03-17;9;36;Older than 64
2017-03-18;0;0;
2017-03-18;1;25;Younger than 15
2017-03-18;15;321;Between 15 and 64
2017-03-18;1;37;Older than 64
2017-03-19;0;0;
2017-03-19;2;25;Younger than 15
2017-03-19;7;312;Between 15 and 64
2017-03-19;0;35;Older than 64
2017-03-20;0;0;
2017-03-20;4;19;Younger than 15
2017-03-20;55;269;Between 15 and 64
2017-03-20;4;30;Older than 64
2017-03-21;0;0;
2017-03-21;7;21;Younger than 15
2017-03-21;51;268;Between 15 and 64
2017-03-21;6;25;Older than 64
2017-03-22;0;0;
2017-03-22;0;20;Younger than 15
2017-03-22;40;248;Between 15 and 64
2017-03-22;4;25;Older than 64
2017-03-23;0;0;
2017-03-23;3;20;Younger than 15
2017-03-23;31;234;Between 15 and 64
2017-03-23;3;27;Older than 64
2017-03-24;0;0;
2017-03-24;2;19;Younger than 15
2017-03-24;27;226;Between 15 and 64
2017-03-24;3;21;Older than 64
2017-03-25;0;0;
2017-03-25;0;18;Younger than 15
2017-03-25;5;216;Between 15 and 64
2017-03-25;2;22;Older than 64
2017-03-26;0;0;
2017-03-26;1;17;Younger than 15
2017-03-26;4;213;Between 15 and 64
2017-03-26;1;23;Older than 64
2017-03-27;0;0;
2017-03-27;5;18;Younger than 15
2017-03-27;59;217;Between 15 and 64
2017-03-27;5;24;Older than 64
2017-03-28;0;0;
2017-03-28;4;15;Younger than 15
2017-03-28;30;196;Between 15 and 64
2017-03-28;2;20;Older than 64
2017-03-29;0;0;
2017-03-29;4;19;Younger than 15
2017-03-29;54;210;Between 15 and 64
2017-03-29;1;17;Older than 64
2017-03-30;0;0;
2017-03-30;1;17;Younger than 15
2017-03-30;22;201;Between 15 and 64
2017-03-30;2;16;Older than 64
2017-03-31;0;0;
2017-03-31;3;18;Younger than 15
2017-03-31;23;197;Between 15 and 64
2017-03-31;3;16;Older than 64
2017-04-01;0;0;
2017-04-01;0;18;Younger than 15
2017-04-01;8;200;Between 15 and 64
2017-04-01;3;17;Older than 64
2017-04-02;0;0;
2017-04-02;1;18;Younger than 15
2017-04-02;8;204;Between 15 and 64
2017-04-02;1;17;Older than 64
2017-04-03;0;0;
2017-04-03;0;13;Younger than 15
2017-04-03;50;195;Between 15 and 64
2017-04-03;3;15;Older than 64
2017-04-04;0;0;
2017-04-04;1;10;Younger than 15
2017-04-04;38;203;Between 15 and 64
2017-04-04;0;13;Older than 64
2017-04-05;0;0;
2017-04-05;0;6;Younger than 15
2017-04-05;41;190;Between 15 and 64
2017-04-05;3;15;Older than 64
2017-04-06;0;0;
2017-04-06;1;6;Younger than 15
2017-04-06;21;189;Between 15 and 64
2017-04-06;2;15;Older than 64
2017-04-07;0;0;
2017-04-07;3;6;Younger than 15
2017-04-07;14;180;Between 15 and 64
2017-04-07;3;15;Older than 64
2017-04-08;0;0;
2017-04-08;0;6;Younger than 15
2017-04-08;9;181;Between 15 and 64
2017-04-08;2;14;Older than 64
2017-04-09;0;0;
2017-04-09;1;6;Younger than 15
2017-04-09;7;180;Between 15 and 64
2017-04-09;1;14;Older than 64
2017-04-10;0;0;
2017-04-10;1;7;Younger than 15
2017-04-10;22;152;Between 15 and 64
2017-04-10;1;12;Older than 64
2017-04-11;0;0;
2017-04-11;1;7;Younger than 15
2017-04-11;18;132;Between 15 and 64
2017-04-11;3;15;Older than 64
2017-04-12;0;0;
2017-04-12;1;8;Younger than 15
2017-04-12;20;111;Between 15 and 64
2017-04-12;5;17;Older than 64
2017-04-13;0;0;
2017-04-13;0;7;Younger than 15
2017-04-13;5;95;Between 15 and 64
2017-04-13;4;19;Older than 64
2017-04-14;0;0;
2017-04-14;1;5;Younger than 15
2017-04-14;13;94;Between 15 and 64
2017-04-14;2;18;Older than 64
2017-04-15;0;0;
2017-04-15;1;6;Younger than 15
2017-04-15;7;92;Between 15 and 64
2017-04-15;1;17;Older than 64
2017-04-16;0;0;
2017-04-16;3;8;Younger than 15
2017-04-16;12;97;Between 15 and 64
2017-04-16;6;22;Older than 64
2017-04-17;0;0;
2017-04-17;2;9;Younger than 15
2017-04-17;5;80;Between 15 and 64
2017-04-17;4;25;Older than 64
2017-04-18;0;0;
2017-04-18;5;13;Younger than 15
2017-04-18;33;95;Between 15 and 64
2017-04-18;3;25;Older than 64
2017-04-19;0;0;
2017-04-19;3;15;Younger than 15
2017-04-19;17;92;Between 15 and 64
2017-04-19;3;23;Older than 64
2017-04-20;0;0;
2017-04-20;3;18;Younger than 15
2017-04-20;27;114;Between 15 and 64
2017-04-20;1;20;Older than 64
2017-04-21;0;0;
2017-04-21;0;17;Younger than 15
2017-04-21;16;117;Between 15 and 64
2017-04-21;3;21;Older than 64
2017-04-22;0;0;
2017-04-22;2;18;Younger than 15
2017-04-22;7;117;Between 15 and 64
2017-04-22;0;20;Older than 64
2017-04-23;0;0;
2017-04-23;0;15;Younger than 15
2017-04-23;8;113;Between 15 and 64
2017-04-23;1;15;Older than 64
2017-04-24;0;0;
2017-04-24;0;13;Younger than 15
2017-04-24;15;123;Between 15 and 64
2017-04-24;4;15;Older than 64
2017-04-25;0;0;
2017-04-25;2;10;Younger than 15
2017-04-25;19;109;Between 15 and 64
2017-04-25;2;14;Older than 64
2017-04-26;0;0;
2017-04-26;0;7;Younger than 15
2017-04-26;18;110;Between 15 and 64
2017-04-26;3;14;Older than 64
2017-04-27;0;0;
2017-04-27;0;4;Younger than 15
2017-04-27;12;95;Between 15 and 64
2017-04-27;2;15;Older than 64
2017-04-28;0;0;
2017-04-28;0;4;Younger than 15
2017-04-28;13;92;Between 15 and 64
2017-04-28;3;15;Older than 64
2017-04-29;0;0;
2017-04-29;1;3;Younger than 15
2017-04-29;6;91;Between 15 and 64
2017-04-29;0;15;Older than 64
2017-04-30;0;0;
2017-04-30;2;5;Younger than 15
2017-04-30;15;98;Between 15 and 64
2017-04-30;2;16;Older than 64
2017-05-01;0;0;
2017-05-01;1;6;Younger than 15
2017-05-01;13;96;Between 15 and 64
2017-05-01;0;12;Older than 64
2017-05-02;0;0;
2017-05-02;2;6;Younger than 15
2017-05-02;24;101;Between 15 and 64
2017-05-02;1;11;Older than 64
2017-05-03;0;0;
2017-05-03;1;7;Younger than 15
2017-05-03;20;103;Between 15 and 64
2017-05-03;0;8;Older than 64
2017-05-04;0;0;
2017-05-04;2;9;Younger than 15
2017-05-04;21;112;Between 15 and 64
2017-05-04;1;7;Older than 64
2017-05-05;0;0;
2017-05-05;1;10;Younger than 15
2017-05-05;10;109;Between 15 and 64
2017-05-05;0;4;Older than 64
2017-05-06;0;0;
2017-05-06;0;9;Younger than 15
2017-05-06;11;114;Between 15 and 64
2017-05-06;0;4;Older than 64
2017-05-07;0;0;
2017-05-07;0;7;Younger than 15
2017-05-07;4;103;Between 15 and 64
2017-05-07;2;4;Older than 64
2017-05-08;0;0;
2017-05-08;1;7;Younger than 15
2017-05-08;14;104;Between 15 and 64
2017-05-08;2;6;Older than 64
2017-05-09;0;0;
2017-05-09;2;7;Younger than 15
2017-05-09;12;92;Between 15 and 64
2017-05-09;2;7;Older than 64
2017-05-10;0;0;
2017-05-10;1;7;Younger than 15
2017-05-10;22;94;Between 15 and 64
2017-05-10;2;9;Older than 64
2017-05-11;0;0;
2017-05-11;0;5;Younger than 15
2017-05-11;19;92;Between 15 and 64
2017-05-11;0;8;Older than 64
2017-05-12;0;0;
2017-05-12;0;4;Younger than 15
2017-05-12;11;93;Between 15 and 64
2017-05-12;2;10;Older than 64
2017-05-13;0;0;
2017-05-13;1;5;Younger than 15
2017-05-13;3;85;Between 15 and 64
2017-05-13;0;10;Older than 64
2017-05-14;0;0;
2017-05-14;0;5;Younger than 15
2017-05-14;4;85;Between 15 and 64
2017-05-14;0;8;Older than 64
2017-05-15;0;0;
2017-05-15;3;7;Younger than 15
2017-05-15;14;85;Between 15 and 64
2017-05-15;3;9;Older than 64
2017-05-16;0;0;
2017-05-16;1;6;Younger than 15
2017-05-16;14;87;Between 15 and 64
2017-05-16;1;8;Older than 64
2017-05-17;0;0;
2017-05-17;1;6;Younger than 15
2017-05-17;8;73;Between 15 and 64
2017-05-17;0;6;Older than 64
2017-05-18;0;0;
2017-05-18;3;9;Younger than 15
2017-05-18;11;65;Between 15 and 64
2017-05-18;1;7;Older than 64
2017-05-19;0;0;
2017-05-19;1;10;Younger than 15
2017-05-19;13;67;Between 15 and 64
2017-05-19;1;6;Older than 64
2017-05-20;0;0;
2017-05-20;0;9;Younger than 15
2017-05-20;5;69;Between 15 and 64
2017-05-20;0;6;Older than 64
2017-05-21;0;0;
2017-05-21;1;10;Younger than 15
2017-05-21;6;71;Between 15 and 64
2017-05-21;0;6;Older than 64
2017-05-22;0;0;
2017-05-22;1;8;Younger than 15
2017-05-22;16;73;Between 15 and 64
2017-05-22;4;7;Older than 64
2017-05-23;0;0;
2017-05-23;1;8;Younger than 15
2017-05-23;11;70;Between 15 and 64
2017-05-23;1;7;Older than 64
2017-05-24;0;0;
2017-05-24;1;8;Younger than 15
2017-05-24;10;72;Between 15 and 64
2017-05-24;0;7;Older than 64
2017-05-25;0;0;
2017-05-25;0;5;Younger than 15
2017-05-25;14;75;Between 15 and 64
2017-05-25;0;6;Older than 64
2017-05-26;0;0;
2017-05-26;1;5;Younger than 15
2017-05-26;8;70;Between 15 and 64
2017-05-26;1;6;Older than 64
2017-05-27;0;0;
2017-05-27;1;6;Younger than 15
2017-05-27;7;72;Between 15 and 64
2017-05-27;1;7;Older than 64
2017-05-28;0;0;
2017-05-28;3;8;Younger than 15
2017-05-28;6;72;Between 15 and 64
2017-05-28;0;7;Older than 64
2017-05-29;0;0;
2017-05-29;0;7;Younger than 15
2017-05-29;11;67;Between 15 and 64
2017-05-29;0;3;Older than 64
2017-05-30;0;0;
2017-05-30;2;8;Younger than 15
2017-05-30;8;64;Between 15 and 64
2017-05-30;0;2;Older than 64
2017-05-31;0;0;
2017-05-31;1;8;Younger than 15
2017-05-31;12;66;Between 15 and 64
2017-05-31;0;2;Older than 64
2017-06-01;0;0;
2017-06-01;0;8;Younger than 15
2017-06-01;12;64;Between 15 and 64
2017-06-01;3;5;Older than 64
2017-06-02;0;0;
2017-06-02;1;8;Younger than 15
2017-06-02;4;60;Between 15 and 64
2017-06-02;1;5;Older than 64
2017-06-03;0;0;
2017-06-03;1;8;Younger than 15
2017-06-03;4;57;Between 15 and 64
2017-06-03;0;4;Older than 64
2017-06-04;0;0;
2017-06-04;0;5;Younger than 15
2017-06-04;2;53;Between 15 and 64
2017-06-04;0;4;Older than 64
2017-06-05;0;0;
2017-06-05;0;5;Younger than 15
2017-06-05;7;49;Between 15 and 64
2017-06-05;1;5;Older than 64
2017-06-06;0;0;
2017-06-06;2;5;Younger than 15
2017-06-06;5;46;Between 15 and 64
2017-06-06;0;5;Older than 64
2017-06-07;0;0;
2017-06-07;2;6;Younger than 15
2017-06-07;3;37;Between 15 and 64
2017-06-07;0;5;Older than 64
2017-06-08;0;0;
2017-06-08;1;7;Younger than 15
2017-06-08;2;27;Between 15 and 64
2017-06-08;0;2;Older than 64
2017-06-09;0;0;
2017-06-09;4;10;Younger than 15
2017-06-09;5;28;Between 15 and 64
2017-06-09;0;1;Older than 64
2017-06-10;0;0;
2017-06-10;0;9;Younger than 15
2017-06-10;3;27;Between 15 and 64
2017-06-10;0;1;Older than 64
2017-06-11;0;0;
2017-06-11;0;9;Younger than 15
2017-06-11;2;27;Between 15 and 64
2017-06-11;0;1;Older than 64
2017-06-12;0;0;
2017-06-12;1;10;Younger than 15
2017-06-12;9;29;Between 15 and 64
2017-06-12;2;2;Older than 64
2017-06-13;0;0;
2017-06-13;0;8;Younger than 15
2017-06-13;5;29;Between 15 and 64
2017-06-13;1;3;Older than 64
2017-06-14;0;0;
2017-06-14;1;7;Younger than 15
2017-06-14;9;35;Between 15 and 64
2017-06-14;0;3;Older than 64
2017-06-15;0;0;
2017-06-15;1;7;Younger than 15
2017-06-15;7;40;Between 15 and 64
2017-06-15;1;4;Older than 64
2017-06-16;0;0;
2017-06-16;1;4;Younger than 15
2017-06-16;3;38;Between 15 and 64
2017-06-16;2;6;Older than 64
2017-06-17;0;0;
2017-06-17;0;4;Younger than 15
2017-06-17;1;36;Between 15 and 64
2017-06-17;1;7;Older than 64
2017-06-18;0;0;
2017-06-18;0;4;Younger than 15
2017-06-18;1;35;Between 15 and 64
2017-06-18;1;8;Older than 64
2017-06-19;0;0;
2017-06-19;0;3;Younger than 15
2017-06-19;4;30;Between 15 and 64
2017-06-19;0;6;Older than 64
2017-06-20;0;0;
2017-06-20;2;5;Younger than 15
2017-06-20;8;33;Between 15 and 64
2017-06-20;0;5;Older than 64
2017-06-21;0;0;
2017-06-21;2;6;Younger than 15
2017-06-21;4;28;Between 15 and 64
2017-06-21;2;7;Older than 64
2017-06-22;0;0;
2017-06-22;1;6;Younger than 15
2017-06-22;6;27;Between 15 and 64
2017-06-22;0;6;Older than 64
2017-06-23;0;0;
2017-06-23;4;9;Younger than 15
2017-06-23;3;27;Between 15 and 64
2017-06-23;0;4;Older than 64
2017-06-24;0;0;
2017-06-24;0;9;Younger than 15
2017-06-24;1;27;Between 15 and 64
2017-06-24;1;4;Older than 64
2017-06-25;0;0;
2017-06-25;3;12;Younger than 15
2017-06-25;3;29;Between 15 and 64
2017-06-25;2;5;Older than 64
2017-06-26;0;0;
2017-06-26;2;14;Younger than 15
2017-06-26;12;37;Between 15 and 64
2017-06-26;2;7;Older than 64
2017-06-27;0;0;
2017-06-27;2;14;Younger than 15
2017-06-27;5;34;Between 15 and 64
2017-06-27;0;7;Older than 64
2017-06-28;0;0;
2017-06-28;1;13;Younger than 15
2017-06-28;9;39;Between 15 and 64
2017-06-28;0;5;Older than 64
2017-06-29;0;0;
2017-06-29;0;12;Younger than 15
2017-06-29;8;41;Between 15 and 64
2017-06-29;0;5;Older than 64
2017-06-30;0;0;
2017-06-30;0;8;Younger than 15
2017-06-30;7;45;Between 15 and 64
2017-06-30;1;6;Older than 64
2017-07-01;0;0;
2017-07-01;1;9;Younger than 15
2017-07-01;6;50;Between 15 and 64
2017-07-01;1;6;Older than 64
2017-07-02;0;0;
2017-07-02;1;7;Younger than 15
2017-07-02;3;50;Between 15 and 64
2017-07-02;2;6;Older than 64
2017-07-03;0;0;
2017-07-03;1;6;Younger than 15
2017-07-03;4;42;Between 15 and 64
2017-07-03;1;5;Older than 64
2017-07-04;0;0;
2017-07-04;0;4;Younger than 15
2017-07-04;7;44;Between 15 and 64
2017-07-04;1;6;Older than 64
2017-07-05;0;0;
2017-07-05;2;5;Younger than 15
2017-07-05;7;42;Between 15 and 64
2017-07-05;1;7;Older than 64
2017-07-06;0;0;
2017-07-06;0;5;Younger than 15
2017-07-06;7;41;Between 15 and 64
2017-07-06;1;8;Older than 64
2017-07-07;0;0;
2017-07-07;1;6;Younger than 15
2017-07-07;3;37;Between 15 and 64
2017-07-07;1;8;Older than 64
2017-07-08;0;0;
2017-07-08;2;7;Younger than 15
2017-07-08;5;36;Between 15 and 64
2017-07-08;0;7;Older than 64
2017-07-09;0;0;
2017-07-09;0;6;Younger than 15
2017-07-09;2;35;Between 15 and 64
2017-07-09;0;5;Older than 64
2017-07-10;0;0;
2017-07-10;0;5;Younger than 15
2017-07-10;10;41;Between 15 and 64
2017-07-10;2;6;Older than 64
2017-07-11;0;0;
2017-07-11;0;5;Younger than 15
2017-07-11;7;41;Between 15 and 64
2017-07-11;0;5;Older than 64
2017-07-12;0;0;
2017-07-12;0;3;Younger than 15
2017-07-12;4;38;Between 15 and 64
2017-07-12;1;5;Older than 64
2017-07-13;0;0;
2017-07-13;1;4;Younger than 15
2017-07-13;3;34;Between 15 and 64
2017-07-13;0;4;Older than 64
2017-07-14;0;0;
2017-07-14;0;3;Younger than 15
2017-07-14;2;33;Between 15 and 64
2017-07-14;0;3;Older than 64
2017-07-15;0;0;
2017-07-15;0;1;Younger than 15
2017-07-15;4;32;Between 15 and 64
2017-07-15;0;3;Older than 64
2017-07-16;0;0;
2017-07-16;0;1;Younger than 15
2017-07-16;2;32;Between 15 and 64
2017-07-16;0;3;Older than 64
2017-07-17;0;0;
2017-07-17;1;2;Younger than 15
2017-07-17;7;29;Between 15 and 64
2017-07-17;1;2;Older than 64
2017-07-18;0;0;
2017-07-18;0;2;Younger than 15
2017-07-18;6;28;Between 15 and 64
2017-07-18;1;3;Older than 64
2017-07-19;0;0;
2017-07-19;1;3;Younger than 15
2017-07-19;9;33;Between 15 and 64
2017-07-19;1;3;Older than 64
2017-07-20;0;0;
2017-07-20;1;3;Younger than 15
2017-07-20;6;36;Between 15 and 64
2017-07-20;2;5;Older than 64
2017-07-21;0;0;
2017-07-21;2;5;Younger than 15
2017-07-21;3;37;Between 15 and 64
2017-07-21;2;7;Older than 64
2017-07-22;0;0;
2017-07-22;2;7;Younger than 15
2017-07-22;1;34;Between 15 and 64
2017-07-22;1;8;Older than 64
2017-07-23;0;0;
2017-07-23;0;7;Younger than 15
2017-07-23;3;35;Between 15 and 64
2017-07-23;0;8;Older than 64
2017-07-24;0;0;
2017-07-24;0;6;Younger than 15
2017-07-24;7;35;Between 15 and 64
2017-07-24;1;8;Older than 64
2017-07-25;0;0;
2017-07-25;1;7;Younger than 15
2017-07-25;0;29;Between 15 and 64
2017-07-25;1;8;Older than 64
2017-07-26;0;0;
2017-07-26;0;6;Younger than 15
2017-07-26;8;28;Between 15 and 64
2017-07-26;2;9;Older than 64
2017-07-27;0;0;
2017-07-27;3;8;Younger than 15
2017-07-27;9;31;Between 15 and 64
2017-07-27;1;8;Older than 64
2017-07-28;0;0;
2017-07-28;1;7;Younger than 15
2017-07-28;4;32;Between 15 and 64
2017-07-28;1;7;Older than 64
2017-07-29;0;0;
2017-07-29;1;6;Younger than 15
2017-07-29;2;33;Between 15 and 64
2017-07-29;0;6;Older than 64
2017-07-30;0;0;
2017-07-30;0;6;Younger than 15
2017-07-30;1;31;Between 15 and 64
2017-07-30;0;6;Older than 64
2017-07-31;0;0;
2017-07-31;1;7;Younger than 15
2017-07-31;4;28;Between 15 and 64
2017-07-31;1;6;Older than 64
2017-08-01;0;0;
2017-08-01;1;7;Younger than 15
2017-08-01;4;32;Between 15 and 64
2017-08-01;3;8;Older than 64
2017-08-02;0;0;
2017-08-02;2;9;Younger than 15
2017-08-02;2;26;Between 15 and 64
2017-08-02;0;6;Older than 64
2017-08-03;0;0;
2017-08-03;1;7;Younger than 15
2017-08-03;3;20;Between 15 and 64
2017-08-03;1;6;Older than 64
2017-08-04;0;0;
2017-08-04;0;6;Younger than 15
2017-08-04;4;20;Between 15 and 64
2017-08-04;0;5;Older than 64
2017-08-05;0;0;
2017-08-05;0;5;Younger than 15
2017-08-05;0;18;Between 15 and 64
2017-08-05;0;5;Older than 64
2017-08-06;0;0;
2017-08-06;2;7;Younger than 15
2017-08-06;2;19;Between 15 and 64
2017-08-06;1;6;Older than 64
2017-08-07;0;0;
2017-08-07;0;6;Younger than 15
2017-08-07;2;17;Between 15 and 64
2017-08-07;0;5;Older than 64
2017-08-08;0;0;
2017-08-08;1;6;Younger than 15
2017-08-08;4;17;Between 15 and 64
2017-08-08;0;2;Older than 64
2017-08-09;0;0;
2017-08-09;1;5;Younger than 15
2017-08-09;6;21;Between 15 and 64
2017-08-09;0;2;Older than 64
2017-08-10;0;0;
2017-08-10;0;4;Younger than 15
2017-08-10;5;23;Between 15 and 64
2017-08-10;0;1;Older than 64
2017-08-11;0;0;
2017-08-11;0;4;Younger than 15
2017-08-11;10;29;Between 15 and 64
2017-08-11;1;2;Older than 64
2017-08-12;0;0;
2017-08-12;0;4;Younger than 15
2017-08-12;6;35;Between 15 and 64
2017-08-12;0;2;Older than 64
2017-08-13;0;0;
2017-08-13;0;2;Younger than 15
2017-08-13;7;40;Between 15 and 64
2017-08-13;1;2;Older than 64
2017-08-14;0;0;
2017-08-14;1;3;Younger than 15
2017-08-14;2;40;Between 15 and 64
2017-08-14;0;2;Older than 64
2017-08-15;0;0;
2017-08-15;1;3;Younger than 15
2017-08-15;1;37;Between 15 and 64
2017-08-15;0;2;Older than 64
2017-08-16;0;0;
2017-08-16;0;2;Younger than 15
2017-08-16;9;40;Between 15 and 64
2017-08-16;0;2;Older than 64
2017-08-17;0;0;
2017-08-17;0;2;Younger than 15
2017-08-17;6;41;Between 15 and 64
2017-08-17;2;4;Older than 64
2017-08-18;0;0;
2017-08-18;0;2;Younger than 15
2017-08-18;10;41;Between 15 and 64
2017-08-18;0;3;Older than 64
2017-08-19;0;0;
2017-08-19;1;3;Younger than 15
2017-08-19;6;41;Between 15 and 64
2017-08-19;1;4;Older than 64
2017-08-20;0;0;
2017-08-20;0;3;Younger than 15
2017-08-20;4;38;Between 15 and 64
2017-08-20;2;5;Older than 64
2017-08-21;0;0;
2017-08-21;0;2;Younger than 15
2017-08-21;3;39;Between 15 and 64
2017-08-21;1;6;Older than 64
2017-08-22;0;0;
2017-08-22;1;2;Younger than 15
2017-08-22;3;41;Between 15 and 64
2017-08-22;0;6;Older than 64
2017-08-23;0;0;
2017-08-23;0;2;Younger than 15
2017-08-23;5;37;Between 15 and 64
2017-08-23;1;7;Older than 64
2017-08-24;0;0;
2017-08-24;1;3;Younger than 15
2017-08-24;6;37;Between 15 and 64
2017-08-24;0;5;Older than 64
2017-08-25;0;0;
2017-08-25;0;3;Younger than 15
2017-08-25;3;30;Between 15 and 64
2017-08-25;1;6;Older than 64
2017-08-26;0;0;
2017-08-26;1;3;Younger than 15
2017-08-26;4;28;Between 15 and 64
2017-08-26;0;5;Older than 64
2017-08-27;0;0;
2017-08-27;0;3;Younger than 15
2017-08-27;6;30;Between 15 and 64
2017-08-27;1;4;Older than 64
2017-08-28;0;0;
2017-08-28;0;3;Younger than 15
2017-08-28;13;40;Between 15 and 64
2017-08-28;0;3;Older than 64
2017-08-29;0;0;
2017-08-29;3;5;Younger than 15
2017-08-29;0;37;Between 15 and 64
2017-08-29;1;4;Older than 64
2017-08-30;0;0;
2017-08-30;0;5;Younger than 15
2017-08-30;5;37;Between 15 and 64
2017-08-30;0;3;Older than 64
2017-08-31;0;0;
2017-08-31;0;4;Younger than 15
2017-08-31;15;46;Between 15 and 64
2017-08-31;2;5;Older than 64
2017-09-01;0;0;
2017-09-01;0;4;Younger than 15
2017-09-01;2;45;Between 15 and 64
2017-09-01;2;6;Older than 64
2017-09-02;0;0;
2017-09-02;1;4;Younger than 15
2017-09-02;2;43;Between 15 and 64
2017-09-02;1;7;Older than 64
2017-09-03;0;0;
2017-09-03;0;4;Younger than 15
2017-09-03;1;38;Between 15 and 64
2017-09-03;0;6;Older than 64
2017-09-04;0;0;
2017-09-04;0;4;Younger than 15
2017-09-04;10;35;Between 15 and 64
2017-09-04;1;7;Older than 64
2017-09-05;0;0;
2017-09-05;0;1;Younger than 15
2017-09-05;5;40;Between 15 and 64
2017-09-05;2;8;Older than 64
2017-09-06;0;0;
2017-09-06;1;2;Younger than 15
2017-09-06;6;41;Between 15 and 64
2017-09-06;1;9;Older than 64
2017-09-07;0;0;
2017-09-07;1;3;Younger than 15
2017-09-07;9;35;Between 15 and 64
2017-09-07;0;7;Older than 64
2017-09-08;0;0;
2017-09-08;0;3;Younger than 15
2017-09-08;3;36;Between 15 and 64
2017-09-08;0;5;Older than 64
2017-09-09;0;0;
2017-09-09;1;3;Younger than 15
2017-09-09;1;35;Between 15 and 64
2017-09-09;0;4;Older than 64
2017-09-10;0;0;
2017-09-10;0;3;Younger than 15
2017-09-10;3;37;Between 15 and 64
2017-09-10;1;5;Older than 64
2017-09-11;0;0;
2017-09-11;1;4;Younger than 15
2017-09-11;5;32;Between 15 and 64
2017-09-11;0;4;Older than 64
2017-09-12;0;0;
2017-09-12;0;4;Younger than 15
2017-09-12;12;39;Between 15 and 64
2017-09-12;1;3;Older than 64
2017-09-13;0;0;
2017-09-13;0;3;Younger than 15
2017-09-13;5;38;Between 15 and 64
2017-09-13;0;2;Older than 64
2017-09-14;0;0;
2017-09-14;1;3;Younger than 15
2017-09-14;6;35;Between 15 and 64
2017-09-14;2;4;Older than 64
2017-09-15;0;0;
2017-09-15;0;3;Younger than 15
2017-09-15;3;35;Between 15 and 64
2017-09-15;1;5;Older than 64
2017-09-16;0;0;
2017-09-16;0;2;Younger than 15
2017-09-16;5;39;Between 15 and 64
2017-09-16;0;5;Older than 64
2017-09-17;0;0;
2017-09-17;0;2;Younger than 15
2017-09-17;2;38;Between 15 and 64
2017-09-17;1;5;Older than 64
2017-09-18;0;0;
2017-09-18;1;2;Younger than 15
2017-09-18;20;53;Between 15 and 64
2017-09-18;1;6;Older than 64
2017-09-19;0;0;
2017-09-19;3;5;Younger than 15
2017-09-19;14;55;Between 15 and 64
2017-09-19;0;5;Older than 64
2017-09-20;0;0;
2017-09-20;7;12;Younger than 15
2017-09-20;17;67;Between 15 and 64
2017-09-20;0;5;Older than 64
2017-09-21;0;0;
2017-09-21;3;14;Younger than 15
2017-09-21;15;76;Between 15 and 64
2017-09-21;1;4;Older than 64
2017-09-22;0;0;
2017-09-22;3;17;Younger than 15
2017-09-22;18;91;Between 15 and 64
2017-09-22;1;4;Older than 64
2017-09-23;0;0;
2017-09-23;1;18;Younger than 15
2017-09-23;12;98;Between 15 and 64
2017-09-23;0;4;Older than 64
2017-09-24;0;0;
2017-09-24;7;25;Younger than 15
2017-09-24;11;107;Between 15 and 64
2017-09-24;1;4;Older than 64
2017-09-25;0;0;
2017-09-25;4;28;Younger than 15
2017-09-25;25;112;Between 15 and 64
2017-09-25;0;3;Older than 64
2017-09-26;0;0;
2017-09-26;1;26;Younger than 15
2017-09-26;31;129;Between 15 and 64
2017-09-26;2;5;Older than 64
2017-09-27;0;0;
2017-09-27;5;24;Younger than 15
2017-09-27;23;135;Between 15 and 64
2017-09-27;3;8;Older than 64
2017-09-28;0;0;
2017-09-28;3;24;Younger than 15
2017-09-28;18;138;Between 15 and 64
2017-09-28;1;8;Older than 64
2017-09-29;0;0;
2017-09-29;3;24;Younger than 15
2017-09-29;19;139;Between 15 and 64
2017-09-29;0;7;Older than 64
2017-09-30;0;0;
2017-09-30;1;24;Younger than 15
2017-09-30;11;138;Between 15 and 64
2017-09-30;0;7;Older than 64
2017-10-01;0;0;
2017-10-01;0;17;Younger than 15
2017-10-01;5;132;Between 15 and 64
2017-10-01;0;6;Older than 64
2017-10-02;0;0;
2017-10-02;0;13;Younger than 15
2017-10-02;46;153;Between 15 and 64
2017-10-02;2;8;Older than 64
2017-10-03;0;0;
2017-10-03;2;14;Younger than 15
2017-10-03;13;135;Between 15 and 64
2017-10-03;0;6;Older than 64
2017-10-04;0;0;
2017-10-04;2;11;Younger than 15
2017-10-04;26;138;Between 15 and 64
2017-10-04;3;6;Older than 64
2017-10-05;0;0;
2017-10-05;1;9;Younger than 15
2017-10-05;34;154;Between 15 and 64
2017-10-05;4;9;Older than 64
2017-10-06;0;0;
2017-10-06;0;6;Younger than 15
2017-10-06;18;153;Between 15 and 64
2017-10-06;5;14;Older than 64
2017-10-07;0;0;
2017-10-07;2;7;Younger than 15
2017-10-07;7;149;Between 15 and 64
2017-10-07;1;15;Older than 64
2017-10-08;0;0;
2017-10-08;0;7;Younger than 15
2017-10-08;9;153;Between 15 and 64
2017-10-08;0;15;Older than 64
2017-10-09;0;0;
2017-10-09;5;12;Younger than 15
