date;N;N7;age
2015-07-17;5;28;Total
2015-07-18;2;30;Total
2015-07-19;1;27;Total
2015-07-20;5;32;Total
2015-07-21;5;29;Total
2015-07-22;6;29;Total
2015-07-23;3;27;Total
2015-07-24;2;24;Total
2015-07-25;3;25;Total
2015-07-26;1;25;Total
2015-07-27;3;23;Total
2015-07-28;9;27;Total
2015-07-29;1;22;Total
2015-07-30;3;22;Total
2015-07-31;8;28;Total
2015-08-01;4;29;Total
2015-08-02;3;31;Total
2015-08-03;5;33;Total
2015-08-04;4;28;Total
2015-08-05;4;31;Total
2015-08-06;7;35;Total
2015-08-07;5;32;Total
2015-08-08;2;30;Total
2015-08-09;2;29;Total
2015-08-10;7;31;Total
2015-08-11;8;35;Total
2015-08-12;8;39;Total
2015-08-13;4;36;Total
2015-08-14;4;35;Total
2015-08-15;3;36;Total
2015-08-16;5;39;Total
2015-08-17;7;39;Total
2015-08-18;6;37;Total
2015-08-19;9;38;Total
2015-08-20;4;38;Total
2015-08-21;4;38;Total
2015-08-22;1;36;Total
2015-08-23;5;36;Total
2015-08-24;7;36;Total
2015-08-25;3;33;Total
2015-08-26;6;30;Total
2015-08-27;8;34;Total
2015-08-28;5;35;Total
2015-08-29;1;35;Total
2015-08-30;1;31;Total
2015-08-31;12;36;Total
2015-09-01;4;37;Total
2015-09-02;8;39;Total
2015-09-03;7;38;Total
2015-09-04;7;40;Total
2015-09-05;0;39;Total
2015-09-06;2;40;Total
2015-09-07;14;42;Total
2015-09-08;12;50;Total
2015-09-09;16;58;Total
2015-09-10;7;58;Total
2015-09-11;5;56;Total
2015-09-12;6;62;Total
2015-09-13;1;61;Total
2015-09-14;8;55;Total
2015-09-15;13;56;Total
2015-09-16;8;48;Total
2015-09-17;10;51;Total
2015-09-18;3;49;Total
2015-09-19;7;50;Total
2015-09-20;2;51;Total
2015-09-21;18;61;Total
2015-09-22;14;62;Total
2015-09-23;15;69;Total
2015-09-24;14;73;Total
2015-09-25;14;84;Total
2015-09-26;6;83;Total
2015-09-27;5;86;Total
2015-09-28;41;109;Total
2015-09-29;34;129;Total
2015-09-30;30;144;Total
2015-10-01;18;148;Total
2015-10-02;23;157;Total
2015-10-03;9;160;Total
2015-10-04;3;158;Total
2015-10-05;36;153;Total
2015-10-06;31;150;Total
2015-10-07;34;154;Total
2015-10-08;35;171;Total
2015-10-09;27;175;Total
2015-10-10;5;171;Total
2015-10-11;12;180;Total
2015-10-12;7;151;Total
2015-10-13;40;160;Total
2015-10-14;41;167;Total
2015-10-15;28;160;Total
2015-10-16;30;163;Total
2015-10-17;13;171;Total
2015-10-18;16;175;Total
2015-10-19;71;239;Total
2015-10-20;53;252;Total
2015-10-21;41;252;Total
2015-10-22;40;264;Total
2015-10-23;43;277;Total
2015-10-24;6;270;Total
2015-10-25;11;265;Total
2015-10-26;76;270;Total
2015-10-27;63;280;Total
2015-10-28;47;286;Total
2015-10-29;38;284;Total
2015-10-30;46;287;Total
2015-10-31;20;301;Total
2015-11-01;15;305;Total
2015-11-02;76;305;Total
2015-11-03;78;320;Total
2015-11-04;46;319;Total
2015-11-05;32;313;Total
2015-11-06;36;303;Total
2015-11-07;24;307;Total
2015-11-08;16;308;Total
2015-11-09;73;305;Total
2015-11-10;45;272;Total
2015-11-11;58;284;Total
2015-11-12;66;318;Total
2015-11-13;56;338;Total
2015-11-14;9;323;Total
2015-11-15;9;316;Total
2015-11-16;75;318;Total
2015-11-17;59;332;Total
2015-11-18;69;343;Total
2015-11-19;59;336;Total
2015-11-20;58;338;Total
2015-11-21;19;348;Total
2015-11-22;17;356;Total
2015-11-23;115;396;Total
2015-11-24;112;449;Total
2015-11-25;109;489;Total
2015-11-26;81;511;Total
2015-11-27;68;521;Total
2015-11-28;18;520;Total
2015-11-29;17;520;Total
2015-11-30;118;523;Total
2015-12-01;90;501;Total
2015-12-02;116;508;Total
2015-12-03;98;525;Total
2015-12-04;76;533;Total
2015-12-05;18;533;Total
2015-12-06;26;542;Total
2015-12-07;88;512;Total
2015-12-08;16;438;Total
2015-12-09;154;476;Total
2015-12-10;107;485;Total
2015-12-11;92;501;Total
2015-12-12;25;508;Total
2015-12-13;28;510;Total
2015-12-14;166;588;Total
2015-12-15;147;719;Total
2015-12-16;131;696;Total
2015-12-17;108;697;Total
2015-12-18;104;709;Total
2015-12-19;31;715;Total
2015-12-20;31;718;Total
2015-12-21;182;734;Total
2015-12-22;127;714;Total
2015-12-23;100;683;Total
2015-12-24;66;641;Total
2015-12-25;24;561;Total
2015-12-26;29;559;Total
2015-12-27;38;566;Total
2015-12-28;214;598;Total
2015-12-29;177;648;Total
2015-12-30;158;706;Total
2015-12-31;94;734;Total
2016-01-01;28;738;Total
2016-01-02;102;811;Total
2016-01-03;68;841;Total
2016-01-04;260;887;Total
2016-01-05;144;854;Total
2016-01-06;51;747;Total
2016-01-07;235;888;Total
2016-01-08;196;1056;Total
2016-01-09;62;1016;Total
2016-01-10;39;987;Total
2016-01-11;319;1046;Total
2016-01-12;217;1119;Total
2016-01-13;206;1274;Total
2016-01-14;149;1188;Total
2016-01-15;150;1142;Total
2016-01-16;50;1130;Total
2016-01-17;33;1124;Total
2016-01-18;350;1155;Total
2016-01-19;309;1247;Total
2016-01-20;301;1342;Total
2016-01-21;324;1517;Total
2016-01-22;279;1646;Total
2016-01-23;79;1675;Total
2016-01-24;80;1722;Total
2016-01-25;680;2052;Total
2016-01-26;532;2275;Total
2016-01-27;554;2528;Total
2016-01-28;547;2751;Total
2016-01-29;495;2967;Total
2016-01-30;142;3030;Total
2016-01-31;99;3049;Total
2016-02-01;1072;3441;Total
